All,ทั้งหมด
"Product Attributes",แอตทริบิ้วต์สินค้า
"Add New Attribute",เพิ่มแอตทริบิวต์
"Save Attribute",บันทึกแอตทริบิวต์
"Save in New Attribute Set",บันทึกในชุดแอตทริบิวต์ใหม่
"Enter Name for New Attribute Set",ระบุชื่อสำหรับชุดแอตทริบิวต์ใหม่
"Delete Attribute",ลบแอตทริบิวต์
"Edit Product Attribute ""%1""","แก้ไขแอตทริบิวต์สินค้า ""%1"""
"New Product Attribute",สร้างแอตทริบิ้วต์สินค้า
"Advanced Attribute Properties",คุณสมบัติแอตทริบิวต์ขั้นสูง
"Attribute Code",รหัสแอตทริบิวต์
"Default Value",ค่าพื้นฐาน
"Unique Value",ค่าที่ไม่ซ้ำ
"Unique Value (not shared with other products)","ค่าที่ไม่ซ้ำ (ซึ่งไม่ใช้ร่วมกับสินค้าอื่น)"
"Not shared with other products.",ไม่ใช้ร่วมกับสินค้าอื่น
"Add to Column Options",เพิ่มไปยังตัวเลือกคอลัม
Website,เว็บไซต์
Global,ตั้งค่าระบบหลัก
Scope,ขอบเขต
"Use in Search",ใช้ในการค้นหา
Properties,คุณสมบัติ
Visible,มองเห็นได้
Searchable,ค้นหาได้
Comparable,เปรียบเทียบได้
"Delete Selected Group",ลบกลุ่มที่เลือก
Empty,ว่างเปล่า
"Add Attribute",เพิ่มแอตทริบิวต์
"Add New Group",เพิ่มกลุ่มใหม่
"Add Group",เพิ่มกลุ่มใหม่
"Edit Attribute Set Name",แก้ไขชื่อชุดแอตทริบิ้วต์
"Close Window",ปิดหน้าต่าง
"New Product",เพิ่มสินค้า
"Save & Edit",บันทึกและแก้ไข
"Save & New","บันทึก และสร้างใหม่"
"Save & Duplicate",บันทึกและทำสำเนา
"Save & Close",บันทึกและปิด
Change,เปลี่ยนแปลง
Websites,เว็บไซต์
"Products Information",ข้อมูลสินค้า
"Create Category",สร้างหมวดหมู่
"Category Name",ชื่อหมวดหมู่
"Parent Category",หมวดหมู่หลัก
"New Attribute",เพิ่มแอตทริบิวต์
"Attribute Set",ชุดแอตทริบิวต์
"Add New Option",เพิ่มตัวเลือกใหม่
"Import Options",นำเข้าตัวเลือก
Import,นำเข้า
"Add New Row",เพิ่มแถวใหม่
"Delete Row",ลบแถว
"Tier Pricing",ราคาแบบลำดับขั้น
"Default Price",ราคาตั้งต้น
"All Websites",เว็บไซต์ทั้งหมด
"ALL GROUPS",กลุ่มทั้งหมด
"Add Price",เพิ่มราคา
"Default Values",ค่าพื้นฐาน
"Related Products",สินค้าที่เกี่ยวข้อง
"Change Status",เปลี่ยนสถานะ
"Update Attributes",บันทึกแอตทริบิวต์
"New Category",สร้างหมวดหมู่ใหม่
"Add New Images",เพิ่มรูปภาพใหม่
"Inc. Tax",รวมภาษี
"Go to Home Page",ไปยังหน้าหลัก
"Products Comparison List",รายการเปรียบเทียบสินค้า
"New Products",เพิ่มสินค้าใหม่
"Click for price",คลิกเพื่อดูราคา
"Price: %1","ราคา: %1"
"Special Price: %1","ราคาพิเศษ: %1"
"Manage Categories",จัดการหมวดหมู่
Categories,หมวดหมู่
"You moved the category.",คุณย้ายหมวดหมู่แล้ว
"You saved the category.",คุณบันทึกหมวดหมู่แล้ว
"Unable to add attribute",ไม่สามารถเพิ่มแอตทริบิ้วต์ได้
"Manage Product Attributes",จัดการแอตทริบิ้วต์สินค้า
"We can't delete the attribute.",ไม่สามารถลบแอตทริบิวต์ได้
"You deleted the product attribute.",คุณได้ลบแอตทริบิวต์สินค้าแล้ว
"This attribute no longer exists.",แอตทริบิ้วต์นี้ไม่มีอยู่แล้ว
"You saved the product.",คุณบันทึกสินค้าแล้ว
"1 item","1 รายการ"
"%1 items","%1 รายการ"
Grid,ตาราง
List,รายการ
"Grid Only",ตารางเท่านั้น
"List Only",แบบรายการเท่านั้น
"Grid (default) / List","ตาราง (ค่าเริ่มต้น) / รายการ"
"List (default) / Grid","รายการ (ค่าเริ่มต้น) / ตาราง"
Manual,ปรับเอง
"-- Please select --","-- กรุณาเลือก --"
Top/Left,บนซ้าย
Top/Right,บนขวา
Bottom/Left,ล่างซ้าย
Bottom/Right,ล่างขวา
Center,กึ่งกลาง
Category,หมวดหมู่
"Could not save Prices.",ไม่สามารถบันทึกราคาได้
"Could not delete Prices",ไม่สามารถลบราคาได้
"Catalog, Search","หมวดหมู่, ค้นหา"
"In Stock",มีสินค้า
"Shop By",เลือกซื้อโดย
"Add to Wish List","เพิ่มลงใน รายการสิ่งที่ชอบ"
"Add to Compare",เพิ่มลงในการเปรียบเทียบ
"Items %1-%2 of %3","สินค้า %1-%2 จาก %3"
"Sort By",เรียงตาม
"Set Ascending Direction",เรียงจากน้อยไปหามาก
"Set Descending Direction",เรียงจากมากไปหาน้อย
Adding...,กำลังเพิ่ม....
Added,เพิ่มแล้ว
"Add to Wishlist",เพิ่มไปยังรายการโปรด
"Back to Category",กลับไปที่หมวดหมู่
Priority,ระดับความสำคัญ
"Scheduled Changes",กำหนดการ
"Update Information",แก้ไขข้อมูล
"Remove Catalog Price Rule from Update","ลบ Catalog Price Rule จากการอัพเดท"
"Schedule Update",กำหนดการปรับปรุง
"Update Name",เปลี่ยนชื่อ
"Rule Information",คำอธิบายเงื่อนไข
"Rule Name",ชื่อเงื่อนไข
Conditions,เงื่อนไข
"Save as a New Update",บันทึกเป็นการปรับปรุงใหม่
"Move to Another Update",ย้ายการปรับปรุงอื่น
"Delete the Update",ลบการปรับปรุง
"End Time",เวลาสิ้นสุด
"Sort Products By",เรียงสินค้าตาม
"New Theme","ธีมใหม่ "
"Currently Active",กำลังใช้งานอยู่
City,เขต/อำเภอ
"My Cart (1 item)","ตะกร้า (1 ชิ้น)"
"My Cart (%1 items)","ตะกร้า (%1 ชิ้น)"
"My Cart",ตะกร้า
"For delivery questions.",สำหรับสอบถามเกี่ยวกับการจัดส่ง
Checkout,ชำระเงิน
"Page not found.",ไม่พบหน้านี้
"Payment Method",วิธีการชำระเงิน
"Payment Page",หน้าการชำระเงิน
" item"," รายการ"
" items"," รายการ"
Error!,ข้อผิดพลาด!
"Apply Discount Code",ใช้รหัสส่วนลด
"Enter discount code",ใส่รหัสส่วนลด
"Apply Discount",ใช้ส่วนลด
"Continue Shopping",ช้อปปิ้งต่อ
"Update Shopping Cart",อัพเดทตะกร้าสินค้า
"Update Cart","อัพเดท ตะกร้าสินค้า"
"You have no items in your shopping cart.",คุณไม่มีสินค้าในตะกร้า
"Click <a href=""%1"">here</a> to continue shopping.","คลิก <a href=""%1"">ที่นี่</a> เพื่อช้อปปิ้งต่อ"
"Estimate Tax",ภาษีโดยประมาณ
"Estimate Shipping and Tax","ค่าจัดส่ง และภาษี โดยประมาณ"
"You added %1 to your <a href=""%2"">shopping cart</a>.","คุณเพิ่ม %1 ใส่ <a href=""%2"">ตะกร้าสินค้า</a>ของคุณแล้ว"
"Order #","รายการสั่งซื้อ #"
"Proceed to Checkout",เริ่มชำระเงิน
"Your order number is: %1.","รหัสการสั่งซื้อของคุณคือ %1"
"Your order # is: <span>%1</span>.","คำสั่งซื้อ #: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","เราจะอีเมลถึงคุณ เพื่อยืนยันการสั่งซื้อและให้รายละเอียดการติดตามการจัดส่งสินค้า"
"Payment Transaction Failed Reminder",แจ้งเตือนการชำระเงินล้มเหลว
"Payment Transaction Failed",การชำระเงินล้มเหลว
Reason,สาเหตุ
"Checkout Type",รูปแบบการชำระเงิน
Customer:,ลูกค้า:
Total:,รวม:
"Billing Address:",ที่อยู่ในการเรียกเก็บเงิน
"Shipping Address:",ที่อยู่จัดส่งสินค้า
"Shipping Method:",วิธีการจัดส่ง:
"Payment Method:",วิธีการชำระเงิน:
"Date & Time:",วันและเวลา
"Sign In",เข้าสู่ระบบ
"Email Address",ที่อยู่อีเมล
"Forgot Your Password?",ลืมรหัสผ่าน?
"My billing and shipping address are the same","ที่อยู่ออกใบเสร็จ และที่อยู่จัดส่งสินค้า เป็นที่อยู่เดียวกัน"
Update,อัพเดท
"Save in address book",บันทึกในสมุดเก็บที่อยู่
"Estimated Total",ราคารวมโดยประมาณ
"You can create an account after checkout.","คุณสามารถสร้างบัญชีผู้ใช้ได้ หลังจากทำการชำระเงิน"
"You already have an account with us. Sign in or continue as guest.","คุณมีบัญชีอยู่กับเราแล้ว ลงชื่อเข้าใช้ หรือดำเนินการต่อ"
Login,เข้าสู่ระบบ
"Items in Cart",ชิ้นในตะกร้า
"Item in Cart",ชิ้นในตะกร้า
"View and Edit Cart",ดูและแก้ไขตะกร้า
"See Details",ดูรายละเอียด
"Options Details",รายละเอียดตัวเลือก
"Cart Subtotal",ผลรวมย่อยของตะกร้า
"No Payment method available.",ไม่มีวิธีการชำระเงินที่ไม่พร้อมใช้งาน
"You can track your order status by creating an account.","คุณสามารถติดตามสถานะการสั่งซื้อ โดยการสร้างบัญชี"
"Create an Account",สร้างบัญชี
"Ship To:",ส่งไปที่:
"Shipping Address",ที่อยู่จัดส่ง
"Shipping Methods",วิธีการจัดส่ง
"Order Summary",สรุปรายการสั่งซื้อ
"Review & Payments",ตรวจสอบและชำระเงิน
"Save Address",บันทึกที่อยู่
"We'll send your order confirmation here.",เราจะส่งการยืนยันคำสั่งซื้อของคุณที่นี่
Identifier,ยืนยัน
"This block no longer exists.",ไม่มีไฟล์นี้อีกต่อไป
"Page Title",ชื่อหน้า
View,มุมมอง
"General Information",ข้อมูลทั่วไป
"Enable Block",เปิดใช้งานบล็อก
"Block Title",หัวข้อ
"Enable Page",เปิดใช้งานหน้า
"""Page id should be specified",ควรระบุรหัสหน้า
"The block will be removed from the update and all scheduled changes will be lost.","บล็อกจะถูกเอาออกจากการปรับปรุง และเปลี่ยนแปลงตามกำหนดการทั้งหมดจะหายไป"
"Remove CMS page from Update","เอาหน้า CMS จากการ Update"
"Delete Customer",ลบลูกค้า
"Company Name:",ชื่อบริษัท:
"Company Email:",อีเมลบริษัท:
"Company Name",ชื่อบริษัท
Company:,บริษัท:
"Phone Number",เบอร์โทรศัพท์
"You have no other address entries in your address book.","คุณไม่มีรายการที่อยู่อื่น ๆ ในสมุดที่อยู่ของคุณ"
Contacts,การติดต่อ
"My Orders",คำสั่งซื้อของฉัน
Purchased,สั่งซื้อ
Date,วันที่
"Payment Methods",วิธีการชำระเงิน
"Choose an Option...",เลือกตัวเลือก...
Options,ตัวเลือก
"As low as: ","ราคาเริ่มต้น: "
"An error occurred while processing your form. Please try again later.","เกิดข้อผิดพลาดขณะดำเนินการ กรุณาลองใหม่อีกครั้งในภายหลัง"
"Write Us",เขียนข้อความ
"Jot us a note and we’ll get back to you as quickly as possible.","ส่งโน้ตถึงเรา เราจะตอบกลับโดยเร็วที่สุด"
"What’s on your mind?",คุณคิดอะไรอยู่?
"Contact Form",แบบฟอร์มการติดต่อ
"Contacts Section",ส่วนการติดต่อ
"Contact Us",ติดต่อเรา
"Enable Contact Us","เปิดใช้งาน การติดต่อเรา"
"Email Options","อีเมล ตัวเลือก"
"Send Emails To",ส่งอีเมลถึง
"Email Sender",ผู้ส่งอีเมล
"Email Template",เทมเพลตอีเมล
"Invalid domain name: %1","ชื่อโดเมนไม่ถูกต้อง: %1"
"Save Currency Rates",บันทึกอัตราแลกเปลี่ยนสกุลเงิน
"Manage Currency Rates",จัดการอัตราแลกเปลี่ยนสกุลเงิน
"Import Service",บริการนำเข้า
"Save Currency Symbols","บันทึก สัญญลักษณ์ สกุลเงิน"
"Currency Symbols",สัญลักษณ์สกุลเงิน
"Use Standard",ใช้มาตรฐาน
"Click ""Save"" to apply the rates we found.","คลิก ""บันทึก"" เพื่อใช้กับอัตราที่เราพบ"
"Currency Rates",อัตราแลกเปลี่ยนสกุลเงิน
"Please correct the input data for ""%1 => %2"" rate.","กรุณาแก้ไขข้อมูลป้อนเข้า เรท ""%1 => %2"""
"All valid rates have been saved.","บันทึกเรท ทั้งหมดแล้ว"
"You applied the custom currency symbols.",คุณได้ใช้สัญลักษณ์สกุลเงินแบบกำหนดเองแล้ว
"You must first configure currency options before being able to see currency rates.","คุณต้องตั้งค่าตัวเลือกสกุลเงินก่อน จึงจะสามารถดูอัตราแลกเปลี่ยนสกุลเงินได้"
"Old rate:",อัตราเก่า:
"Text Field",ฟิลด์ข้อความ
"Text Area",พื้นที่ข้อความ
"Multiple Line",หลายบรรทัด
Yes/No,ใช่/ไม่ใช่
"File (attachment)","ไฟล์ (ที่แนบ)"
"Image File",ไฟล์รูปภาพ
Alphanumeric,ตัวอักษรตัวเลข
"Numeric Only",ตัวเลขเท่านั้น
"Alpha Only",ตัวอักษรเท่านั้น
"Strip HTML Tags","นำ HTML Tags ออก"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","Attribute code ใช้งานไม่ได้ โปรดใช้ (a-z), (0-9) หรือ underscores (_) เท่านั้น และต้องขึ้นต้นด้วยตัวอักษร"
"You are subscribed to our newsletter.",คุณสมัครสมาชิกจดหมายข่าวของเราแล้ว
"You aren't subscribed to our newsletter.",คุณไม่ได้สมัครสมาชิกจดหมายข่าวของเรา
"You have not set a default shipping address.",คุณไม่ได้ตั้งค่าเริ่มต้นที่อยู่จัดส่ง
"You have not set a default billing address.",คุณไม่ได้ตั้งค่าเริ่มต้นที่อยู่ในการออกใบเสร็จ
"Address Book",ข้อมูลที่อยู่จัดส่งสินค้า
"Edit Address",แก้ไขที่อยู่จัดส่งสินค้า
"Add New Address",เพิ่มที่อยู่ใหม่
"Customer not logged in",ลูกค้าไม่ได้เข้าสู่ระบบ
region,ภูมิภาค
"Save Customer",บันทึกลูกค้า
"Reset Password",รีเซ็ตรหัสผ่าน
"Are you sure you want to revoke the customer's tokens?",คุณแน่ใจหรือไม่ว่าต้องการเพิกถอนโทเค็นของลูกค้า
"Force Sign-In",บังคับให้ลงชื่อเข้าใช้
"New Customer",ลูกค้าใหม่
"Shopping Cart from %1","ตะกร้าสินค้า %1"
Newsletter,จดหมายข่าว
"Newsletter Information",ข้อมูลจดหมายข่าว
"Subscribed to Newsletter",สมัครรับจดหมายข่าว
"Last Date Subscribed",วันที่สมัครครั้งล่าสุด
"Last Date Unsubscribed",วันที่ยกเลิกสมัครครั้งล่าสุด
"No Newsletter Found",ไม่พบจดหมายข่าว
"Start date",วันที่เริ่มต้น
Subject,หัวข้อ
Sent,ส่งแล้ว
"Not Sent",ไม่ส่ง
Sending,กำลังส่ง...
Paused,ถูกหยุดชั่วคราว
Unknown,ไม่ทราบ
"Order #","คำสั่งซื้อ #"
"Order Total",ยอดสั่งซื้อ
"There are no items in customer's shopping cart.",ไม่มีสินค้าในตะกร้าของลูกค้า
Confirmed,ยืนยัน
"Confirmation Required","ต้องการ การยืนยัน"
"Confirmation Not Required","ไม่ต้องการ การยืนยัน"
Indeterminate,ไม่แน่นอน
"The customer does not have default billing address.",ลูกค้าไม่ได้กำหนดที่อยู่หลักสำหรับออกใบเสร็จ
Offline,ออฟไลน์
Online,ออนไลน์
Never,ไม่เคย
Unlocked,ปลดล็อก
Locked,ล็อก
"Deleted Stores",ร้านค้าที่ถูกลบ
"Add Locale",เพิ่มภาษา
"Add Date",เพิ่มวันที่
Unlock,ปลดล็อก
"Delete File",ลบไฟล์
"Delete Image",ลบรูป
"View Full Size",ดูขนาดเต็ม
"All countries",ทุกประเทศ
"Add New Customer Group",เพิ่มกลุ่มลูกค้า
"Save Customer Group",บันทึกกลุ่มลูกค้า
"Delete Customer Group",ลบกลุ่มลูกค้า
"New Customer Group",เพิ่มกลุ่มลูกค้า
"Edit Customer Group ""%1""","แก้ไขกลุ่มลูกค้า ""%1"""
"Group Information",ข้อมูลกลุ่ม
"Group Name",ชื่อกลุ่ม
"Maximum length must be less then %1 characters.","ความยาวสูงสุดไม่เกิน %1 ตัวอักษร"
"The customer is now assigned to Customer Group %s.","ลูกค้าถูกจัดให้อยู่ที่กลุ่ม %s แล้ว"
"Would you like to change the Customer Group for this order?",คุณต้องการเปลี่ยนแปลงกลุ่มลูกค้าสำหรับคำสั่งซื้อนี้หรือไม่
"Date of Birth",วันเกิด
"Thank you for registering with %1.","ขอบคุณสำหรับการลงทะเบียนกับ %1"
"Password confirmation doesn't match entered password.",การยืนยันรหัสผ่านไม่ตรงกับรหัสผ่านที่ป้อน
"New Password and Confirm New Password values didn't match.",รหัสผ่านใหม่และค่ายืนยันรหัสผ่านใหม่ไม่ตรงกัน
"Something went wrong while saving the new password.",เกิดข้อผิดพลาดขณะบันทึกรหัสผ่านใหม่
"You deleted the address.",คุณลบที่อยู่แล้ว
"We can't delete the address right now.",คุณไม่สามารถลบที่อยู่ได้ในขณะนี้
"You saved the address.",คุณบันทึกที่อยู่แล้ว
"We can't save the address.",เราไม่สามารถบันทึกที่อยู่ได้
"Something went wrong while saving file.",เกิดข้อผิดพลาดขณะบันทึกไฟล์
"You deleted the customer group.",คุณลบกลุ่มลูกค้าแล้ว
"The customer group no longer exists.",ไม่มีกลุ่มลูกค้านี้แล้ว
"New Group",สร้างกลุ่มใหม่
"New Customer Groups",เพิ่มกลุ่มลูกค้า
"Edit Group",แก้ไขกลุ่ม
"Edit Customer Groups",แก้ไขกลุ่มลูกค้า
"You saved the customer group.",คุณบันทึกกลุ่มลูกค้าแล้ว
"Please select customer(s).",กรุณาเลือกลูกค้า
"Customer could not be deleted.",ไม่สามารถลบลูกค้าได้
"You deleted the customer.",คุณลบลูกค้าแล้ว
"Something went wrong while editing the customer.",เกิดข้อผิดพลาดขณะกำลังแก้ไขข้อมูลลูกค้า
"Manage Customers",จัดการลูกค้า
"The customer will receive an email with a link to reset password.",ลูกค้าจะได้รับอีเมลที่มีลิงค์สำหรับตั้งรหัสผ่านใหม่
"Something went wrong while resetting customer password.",เกิดข้อผิดพลาดขณะตั้งรหัสผ่านของลูกค้าใหม่
"You saved the customer.",คุณบันทุกข้อมูลลูกค้าแล้ว
"Something went wrong while saving the customer.",เกิดข้อผิดพลาดขณะบันทึกข้อมูลลูกค้า
"Customer has been unlocked successfully.",ปลดล็อกลูกค้าเรียบร้อยแล้ว
"Online Customers",ลูกค้าที่ออนไลน์
"Login successful.",เข้าสู่ระบบสำเร็จ
"Invalid login or password.",ชื่อผู้ใช้หรือรหัสผ่านไม่ถูกต้อง
"The account is locked.",บัญชีของคุณถูกล็อก
"Please enter a password with at most %1 characters.","กรุณากรอกรหัสผ่านที่มีความยาวไม่เกิน %1 ตัวอักษร"
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","ขั้นต่ำของชนิดของตัวอักขระที่ควรแตกต่างกันในรหัสผ่านคือ %1 ชนิดของตัวอักขระ ได้แก่ ตัวพิมพ์เล็ก ตัวพิมพ์ใหญ่ ตัวเลข อักขระพิเศษ"
"This customer already exists in this store.",มีลูกค้าท่านนี้อยู่ในร้านค้านี้อยู่แล้ว
"""%1"" is not a valid URL.","""%1"" ไม่ใช่ URL ที่ถูกต้อง"
"""%1"" is not a valid date.","""%1"" ไม่ใช่วันที่ที่ถูกต้อง"
Male,ชาย
Female,หญิง
"Not Specified",ไม่ระบุ
"Personal Information",ข้อมูลส่วนบุคคล
"Default Billing Address",ที่อยู่หลักสำหรับออกใบเสร็จ
"Default Shipping Address",ที่อยู่หลักสำหรับจัดส่ง
"Contact Information",ข้อมูลติดต่อ
"Change Password",เปลี่ยนรหัสผ่าน
"You are subscribed to ""General Subscription"".","คุณสมัครเป็นสมาชิก ""รับข่าวสาร"""
"Default Addresses",ที่อยู่หลัก
"Change Billing Address",เปลี่ยนที่อยู่สำหรับออกใบเสร็จ
"Change Shipping Address",เปลี่ยนที่อยู่สำหรับจัดส่ง
"It's a default billing address.","ที่อยู่นี้ เป็นที่อยู่หลักสำหรับออกใบเสร็จ"
"Use as my default billing address",ใช้เป็นที่อยู่หลักสำหรับออกใบเสร็จ
"It's a default shipping address.","ที่อยู่นี้ เป็นที่อยู่หลักสำหรับจัดส่ง"
"Use as my default shipping address",ใช้เป็นที่อยู่หลักสำหรับจัดส่ง
"Go back",ย้อนกลับ
"Additional Address Entries",รายการที่อยู่เพิ่มเติม
"Change Email",เปลี่ยนอีเมล
"Change Email and Password",เปลี่ยนอีเมลและรหัสผ่าน
"Current Password",รหัสผ่านปัจจุบัน
"Password Strength",ความแข็งแรงของรหัสผ่าน
"No Password",ไม่มีรหัสผ่าน
"Confirm New Password",ยืนยันรหัสผ่านใหม่
"Please enter your email address below to receive a password reset link.",โปรดป้อนที่อยู่อีเมลของคุณด้านล่างเพื่อรับลิงก์รีเซ็ตรหัสผ่าน
"Reset My Password",รีเซ็ตรหัสผ่านของฉัน
"Registered Customers",ลูกค้าที่เคยลงทะเบียนแล้ว
"If you have an account, sign in with your email address.","หากคุณมีบัญชีอยู่แล้ว ให้ลงชื่อเข้าใช้ด้วยที่อยู่อีเมลของคุณ"
"Subscription option",ตัวเลือกการสมัครสมาชิก
"General Subscription",สมัครรับข่าวสาร
"Sign Up for Newsletter",สมัครรับจดหมายข่าว
"Sign-in Information",ข้อมูลการลงชื่อเข้าใช้
"Confirm Password",ยืนยันรหัสผ่าน
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","การสร้างบัญชีมีประโยชน์มากมาย: ชำระเงินได้เร็วขึ้น เก็บที่อยู่มากกว่าหนึ่งแห่ง ติดตามคำสั่งซื้อและอื่น ๆ"
Weak,อ่อนแอ
Medium,ปานกลาง
Strong,แข็งแรง
"Very Strong",แข็งแรงมาก
"Provide the current ""password"" to change ""email"".","ระบุ ""รหัสผ่าน"" ปัจจุบันเพื่อเปลี่ยน ""อีเมล"""
"Grand Total",รวมทั้งหมด
"My Downloadable Products",สินค้าที่ดาวน์โหลดได้ของฉัน
"Go to <a href=""%1"">My Downloadable Products</a>","ไปที่ <a href=""%1"">สินค้าที่ดาวน์โหลดได้ของฉัน</a>"
"View Order","ดู รายการสั่งซื้อ"
"You have not purchased any downloadable products yet.",คุณยังไม่ได้ซื้อสินค้าที่ดาวน์โหลดได้
"New Address",ที่อยู่ใหม่
Wishlist,รายการโปรด
"My Wish Lists",รายการสินค้าที่ฉันต้องการ
"1 item in wish list","1 สินค้า ในรายการสิ่งที่ชอบ"
"%1 items in wish list","%1 สินค้า ในรายการสิ่งที่ชอบ"
"Product(s) %1 have required options. Each product can only be added individually.","สินค้า %1 มีตัวเลือกที่จำเป็นต้องระบุ สินค้าแต่ละชิ้นสามารถเพิ่มได้ทีละรายการเท่านั้น"
"Copy to Wish List","คัดลอดไปที่ รายการที่ชอบ"
"Move Selected to Wish List","ย้ายรายการที่เลือกไปที่ รายการที่ชอบ"
"Copy Selected to Wish List","คัดลอกรายการที่เลือกไปที่ รายการที่สิ่งชอบ"
"My Wish Lists Link",ลิงค์รายการสินค้าที่ฉันต้องการ
"Ship to:",ส่งไปที่:
"Show My Orders",แสดงคำสั่งซื้อของฉัน
"We have saved your subscription.",เราได้บันทึกการสมัครของคุณแล้ว
"Sign Up for Our Newsletter:",ลงทะเบียนเพื่อรับจดหมายข่าวของเรา:
"Subscription Options",ตัวเลือกการสมัครสมาชิก
"Payment method",วิธีการจ่ายเงิน
Review,รีวิว
Reviews,รีวิว
"Edit item",แก้ไขสินค้า
Nickname,ชื่อเล่น
"My Product Reviews",สินค้าที่ฉันรีวิว
"You have submitted no reviews.",คุณยังไม่เคยส่งรีวิวสินค้า
"Be the first to review this product",เป็นคนแรกที่รีวิวสินค้านี้
"You're reviewing:",คุณกำลังเขียนรีวิว:
"Submit Review",ส่งรีวิว
"Review by","รีวิว โดย"
"Signed up for newsletter with email %1","สมัครรับจดหมายข่าวด้วยอีเมล %1"
"You have placed no returns.",คุณไม่มีรายการส่งคืน
Coupons,คูปอง
"Clear Shopping Cart",ล้างตะกร้า
"Back to My Orders",กลับไปที่คำสั่งซื้อของฉัน
"You have placed no orders.",คุณไม่มีคำสั่งซื้อ
"Print Order",พิมพ์ใบสั่งซื้อ
"Search entire store here...",ค้นหาสินค้าจากทั้งร้านที่นี่...
"Sort by",เรียงตาม
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","ความยาวขั้นต่ำของฟิลด์นี้จะต้องเท่ากับหรือมากกว่า %1 ตัวอักษร ช่องว่างด้านหน้าและต่อท้ายจะถูกละเว้น"
"Your password confirmation must match your password.",การยืนยันรหัสผ่านของคุณต้องตรงกับรหัสผ่านของคุณ
"Your password has expired; please contact your administrator.","รหัสผ่านของคุณหมดอายุ โปรดติดต่อผู้ดูแลระบบของคุณ"
"Password Reset Confirmation for %name","ยืนยันการรีเซ็ตรหัสผ่านสำหรับ %name"
"Sort by color",เรียงตามสี
"Wish List",รายการสินค้าที่ต้องการ
"My Wish List",รายการสินค้าที่ฉันต้องการ
"We can't add the item to Wish List right now: %1.","เราไม่สามารถเพิ่มสินค้าไปยังรายการที่ต้องการได้ในตอนนี้: %1"
"We can't add the item to Wish List right now.",เราไม่สามารถเพิ่มสินค้าไปยังรายการที่ต้องการได้ในตอนนี้
"This product(s) is out of stock.",สินค้านี้หมดสต็อก
"View Product",ดูสินค้า
"You have no items in your wish list.",คุณยังไม่มีสินค้าในรายการสินค้าที่คุณต้องการ
"10 by default. Max - 10000","10 เป็นค่าเริ่มต้น สูงสุด 10000"
"My Wish List Link",ลิงค์รายการสินค้าที่ฉันต้องการ
"continue shopping",ช้อปปิ้งต่อ
"Welcome to %store_name.","ยินดีต้อนรับสู่ %store_name"
Email:,อีเมล:
Password:,รหัสผ่าน:
"Order Status",สถานะการสั่งซื้อ
"Manage Addresses",จัดการที่อยู่
"Backup options",ตัวเลือกการสำรองข้อมูล
Warning,คำเตือน
Ok,ตกลง
"No records found.",ไม่พบข้อมูล
"Recent items",รายการล่าสุด
"Show all...",แสดงทั้งหมด...
"Please enter a number greater 0 in this field.","โปรดป้อนตัวเลขที่มากกว่า 0 ในฟิลด์นี้"
"Please select one of each ratings above.",โปรดเลือกหนึ่งในแต่ละการให้คะแนนด้านบน
"Please specify Url.","กรุณาระบุ Url"
"Method %s does not exist on jQuery.decorate","เมธอด %s ไม่มีอยู่ใน jQuery.decorate"
"Please wait...",กรุณารอสักครู่...
more,อื่นๆ
